,sentences,source,article_id
15910,"Twitter (N:TWTR) named Jack Dorsey, who also heads Square Inc, as its chief executive earlier this month, ending months of speculation about who would take the top job at the microblogging service.",Reuters,3389
24015," Geely's Volvo Car Group expects the Chinese rollout of its new XC90 and, next year, the S90, to drive sales through a slowdown in demand in the world's biggest auto market, its top executive said.",Reuters,4971
4746,WalMart's shares closed up about 1 percent at $59.56 on Thursday.,Reuters,1072
104174,"One of the fired employees allegedly spirited away key documents early in the bank's internal probe, according to two sources familiar with the matter.",Reuters,15730
55428,FCA's Milanlisted shares rose 61 percent last year.,Reuters,11527
84528,Canadian producer OrganiGram has nearly doubled in value since listing on Aug. 25.,Reuters,14190
94834,"Chief Executive Sergio Marchionne wants to incorporate the two carmakers into a Dutchregistered company called Fiat Chrysler Automobiles (FCA), paving the way for a U.S. stock market listing that would help fund an ambitious investment plan.",Reuters,14959
37057,"""It's almost like the customers sense that this country is withdrawing from international finance,"" he added.",Reuters,8113
982,"It rose 23 percent between January and November, the first source said, while hedge funds rose 0.27 percent on average over the same period, data from Hedge Fund Research shows.",Reuters,195
44069,"Takata forecast a net profit of 20 billion yen ($167 million) for the year through next March, on a 9 percent increase in global sales to 700 billion yen.",Reuters,9696
82616,"Privately held, IndiGo does not disclose its full accounts but is the only major Indian carrier which says it is profitable.",Reuters,14053
8777,Gabelli said he dropped his subscription for satellite TV provider DirecTV as well.,Reuters,1922
6769,Shares of Anthem (N:ANTM) were up 4.2 percent at $135.82.Strong U.S. auto sales in November kept the industry on pace for a record year in 2015.,Reuters,1484
85044," Hon Hai Precision Industry Co Ltd (TW:2317), the world's largest contract electronics manufacturer, said on Thursday it had resolved a strike by about 1,000 workers at one of its factories in China, and that production from the plant was unaffected.",Reuters,14218
43510,"Less than a month ago, German 10year yields hit a record low of 0.05 percent, driven down by a 1trillioneuro European Central Bank bondpurchase scheme intended to boost inflation.",Reuters,9569
60825,Shares in Hyundai Mobis fell as much as 5 percent.,Reuters,12144
74054,"Intesa Sanpaolo automated teller machines (ATMs) in Milan"" alt=""© Reuters.",Reuters,13418
102955,"Earlier on Thursday, Charlotte, North Carolinabased Nucor said performance improved at its steel mills compared with the first quarter, especially at sheet and bar mills.",Reuters,15607
43471,"The lowcost carrier has been in federally mediated talks with pilots since November, and negotiations began more than three years ago, the union said.",Reuters,9565
16514,"The company said the workforce reductions would include some involuntary layoffs, affecting people at various locations.",Reuters,3472
13943,Even Ghilarducci thinks positive movement might be coming.,Reuters,2958
76781,"""This looks, on my first reading, to be a legitimate offering,"" he said.",Reuters,13633
105433,This allows them to easily modify their plans based on the potential candidates' future successes and failures.,Reuters,15829
50734,"Equity capital markets underwriting fees fell 2 percent to $5.3 billion, dragged down by a 36 percent drop in fees from initial public offerings.",Reuters,10841
92404,"(1 US dollar = 0.6198 British pound) (1 US dollar = 0.7731 euro)  (Additional reporting by Elisabeth O'Leary and Paul Day in Madrid; Lionel Laurent, Simon Jessop and Steve Slater in London; Editing by Mark Potter)",Reuters,14758
92955,Target spokeswoman Molly Snyder said the company had moved quickly to inform customers as facts were uncovered during a complex investigation.,Reuters,14801
103005,"GM imports materials and parts from the euro zone to Russia, a potential stumbling block as tougher sanctions are discussed.",Reuters,15609
70562,S&P said it believed Tesco's profitability would continue to weaken as competition within the British retail sector remained intense.,Reuters,13140
61833,Reuters could not immediately reach S&P for comment.,Reuters,12248
74668,Writing by Conor Humphries; Editing by Michael Urquhart),Reuters,13460
107699,"The decision, which is not appealable, spared Rajaratnam from the most serious charges he faced.",Reuters,16088
93867,"It also weighed down the benchmark S&P index, which had hit a record intraday high of 2,009.28 earlier in the day but finished nearly unchanged.",Reuters,14880
57056,"But U.S. consumer confidence fell more than expected in February, according to the Conference Board.",Reuters,11757
73109,"With the big stock price drops, others see a run to consolidation.",Reuters,13333
31222,"Share indices in Frankfurt and Paris tumbled more than 2.5 percent, while London's FTSE 100 ended down 1.13 percent.",Reuters,6785
58310,"""In a statement on Tuesday afternoon responding to Chesapeake's lawsuit, American EnergyUtica and Energy & Minerals Group, the largest equity investor in AEU, said in a statement, ""The allegations in the Chesapeake lawsuit against AEU are meritless.""",Reuters,11894
95101,The UAW declined to say how many jobs would be added in Spring Hill.,Reuters,14983
19490,"The company holds an annual meeting with investors and analysts later this month, where McMillon and top executives are due to present their strategies and investment plans.",Reuters,4027
32118,Anthem said in June that it had made several offers for Cigna but a deal had been delayed due in part to differences over who would lead the company and corporate governance.,Reuters,6964
72906,"""They should have their money, but for us this is all very obstructive.",Reuters,13321
24211,German 10year bond yields  rose 3 basis points to 0.71 percent.,Reuters,5021
42891,The Justice Department has been negotiating with the banks for months over how to resolve allegations that traders colluded to rig rates in the largely unregulated $5.3 trillionaday currency market.,Reuters,9447
66086, Fiat Chrysler Automobiles (N:FCAU) (MI:FCHA) Chief Executive Sergio,Reuters,12684
91501,Rosneft and Gazprom Neft are working on Bazhenov with Exxon and Shell.,Reuters,14689
48037," The leaders of Volkswagen's (DE:VOWG_p) supervisory board plan to meet soon to try to iron out an effective working relationship between Chairman Ferdinand Piech and Chief Executive Martin Winterkorn amid a leadership crisis at the automaker, a German newspaper reported on Monday.",Reuters,10393
95703,"""A weak German business sentiment index, Ifo, also added pressure on the euro in European trade, as it reinforced concerns about Germany, the euro zone's biggest economy.",Reuters,15041
101775,"Barclays said the U.S. Department of Justice had requested an extension to a nonprosecution agreement (NPA) that was due to expire last month, to allow it to continue to investigate possible misconduct in foreign exchange trading.",Reuters,15506
31815,"""We haven't heard anything,"" he said in a phone interview.",Reuters,6900
78775,"Gains in recent weeks have largely come on the back of strong quarterly results, which have eased concerns over how corporations are faring in an uncertain global economy.",Reuters,13783
91834,"Experts say the stock market's gains, with the S&P 500 (SPX) topping 2,000 for the first time last month, are somewhat responsible for the appetite for risk.",Reuters,14711
41590,"Chief Executive Lloyd Blankfein has been saying for years that Goldman, founded in 1869, is more of a cuttingedge technology company than a grayhaired investment bank.",Reuters,9228
15345,"Biogen, which had about 7,550 employees as of Dec. 31, said it expects to incur charges of $85 million$95 million, primarily in the fourth quarter, relating to the jobs cuts.",Reuters,3253
16550,"The weaker trading environment is hurting banks, as are the costs of complying with new rules imposed after the financial crisis.",Reuters,3474
22433,Senior leaders from the American Airlines and Deltabacked Partnership for Open & Fair Skies have already met with Transportation Secretary Anthony Foxx and Commerce Secretary Penny Pritzker.,Reuters,4644
96094,"""Currently, there's a small shortage in supply of a specialized component for our communication devices,"" said a spokesman for Pegatron, which assembles iPhones.",Reuters,15071
62733,"Chevron, based in San Ramon, California, declined to comment.",Reuters,12329
18383,"Gains in U.S. indexes, even after the reversal of an oil rally, suggest that the worst might be over for commodity prices hit by concerns about China's economy, said Warren West, principal at Greentree Brokerage Services in Philadelphia.""We're",Reuters,3822
78236,Fiat became full owner of Chrysler early this year and Fiat Chrysler Automobiles began trading last month in New York and Milan.,Reuters,13740
32682,"Corporate headquarters in the Manhattan borough of New York"" rel=""externalimage"" />",Reuters,7056
18158,"""When you have people working side by side doing the same job for different wages, it causes tensions,"" said Lakeysha Woodare, 41, a firsttier worker making $28 an hour who voted against the first contract.",Reuters,3773
71579,"At trial, they argued that Madoff duped their clients into believing his investment advisory business was legitimate.",Reuters,13215
67451,Greek politics were at the forefront of market thinking on Monday as the debate around the possibility of elections later this month resulting in the country leaving the euro zone picked up again.,Reuters,12831
2042,"rationale for PICC's acquisition of Hua Xia is to allocate its investmentgrowing portfolio,"" he said, adding that the planned pricing was in line with market expectations.",Reuters,494
4859,"AMS has nothing to add to its stated guidance expectations or the stated expectation of continued growth for AMS in the future,"" it said.",Reuters,1100
97036,"The PHLX housing sector index climbed 1.7 percent, lifted by a rally in major homebuilders, including PulteGroup Inc, up 2.8 percent at $18.78, and D.R. Horton Inc, up 1.4 percent at $21.13.",Reuters,15156
2532,"Defense Undersecretary Frank Kendall, who oversees arms weapons acquisitions and industrial base issues for the Pentagon, made the comments in an interview, after first mentioning the legislative push in September.",Reuters,615
89504,"That said, he believes the Fed is now out of sync with its peers, the ECB in particular, and will begin to raise interest rates toward the end of the second quarter of 2015, or sooner perhaps.",Reuters,14527
91759,"Banks running the sale have not decided if they will increase the price range or the number of shares on offer, the sources said.",Reuters,14707
58458,Changing from 52 to 174 bolivars would cut the dollar value of their assets by more than two thirds.,Reuters,11910
30731,"In its Financial & Risk segment, revenue was $1.55 billion.",Reuters,6682
90889,"Announcing the results of a portfolio review, Europe's largest aerospace group signaled a break with previous efforts to diversify into security activities and a halt to investment in defense electronics, in which it lacks the scale of rivals.",Reuters,14651
100511,"Airbus declined further comment, saying it did not discuss decisions by its customers.",Reuters,15403
108248,"The plan to expand physical commodities trading beyond just gold and silver comes as major global banks are scaling back the business because of rising capital requirements, regulatory scrutiny and weak margins.",Reuters,16134
31587,BIGGER THAN UNITEDHEALTHAnthem and Cigna are two of just four major insurers that administer selfinsured plans for major companies.,Reuters,6866
57081,The Audi A6 was named the best luxury car for the third straight year.,Reuters,11761
38222,Reuters had reported in March that Asiafocused banks  Standard Chartered  (LONDON:STAN) and HSBC could be tempted to abandon their London headquarters to avoid a jump in the UK bank tax set to cost them a combined $2 billion a year.,Reuters,8406
93820,"""Such changes in behavior have weighed on Diageo and Pernod's most recent earnings results.",Reuters,14876
83891,"The Dow Jones transportation average (DJT) dropped 2.2 percent and is now down 11.1 percent from its record close on Sept. 18, which puts it in correction territory.",Reuters,14150
11120,  Boeing Co  (N:BA) said on Monday it will enter a joint venture partnership with India's Tata Advanced Systems (TASL) to build fuselages for the AH64 Apache (N:APA) attack helicopter in India.,Reuters,2443
42070,"Takata's recall will cost the supplier and its automaker customers an estimated $4$5 billion, said Scott Upham, president of Valient Market Research, which tracks the air bag industry.",Reuters,9284
79885, (Reporting by Lisa Baertlein in Los Angeles; Editing by Bernard Orr and Clara Ferreira Marques),Reuters,13831
70410,"Absolutely,"" Kopp said.",Reuters,13128
9486,"Ronald S. Lauder, chairman of Estee Lauder's Clinique Laboratories, has pledged 10 million shares of company stock worth about $830 million to secure loans and his obligations under a prepaid variable forward sales contract.",Reuters,2072
5156,"""I think the market is starting to be a little bit more concerned about global economic weakness,"" said Paul Nolte, senior vice president and portfolio manager at Kingsview Asset Management in Chicago.",Reuters,1142
73471," The U.S. Federal Aviation Administration proposed on Wednesday requiring a fix for Boeing Co's 7878 Dreamliner, following ""numerous reports of failures of proximity sensors"" on the hightech plane's wings.",Reuters,13362
109823,"             The driver of a 2003 CTS, in a complaint filed in April 2014, described an incident in February 2006 where the engine would shut down ""when the vehicle would hit a pot hole or hard bump.""",Reuters,16770
106394,"About 92,000 of the vehicles have a potential problem with front axles that run to right wheels and may have not been properly installed during assembly.",Reuters,15963
23644,"The case is In re: Credit Default Swaps Antitrust Litigation, U.S. District Court, Southern District of New York, No. 13md02476.",Reuters,4867
806,"Elsewhere in Asia, Japan's Nikkei surrendered earlier gains to end the day at its lowest since Sept. 30.",Reuters,164
67046,"McDonald's Japan brought in Chief Executive Sarah Casanova last March to reverse the trend, but the company is still on track to record its sixth straight year of sales declines and its first annual loss in 11 years.",Reuters,12775
